Date,Rainfall,TempMin,TempaMax,humidity,windgust,windspeed,winddir
01-01-2019,0,14.0766,29.96671,68.9,16.6,7.2,82.8
02-01-2019,0,14.30461,30.24907,68.9,20.2,7.9,89.7
03-01-2019,0,15.99513,30.86178,78.3,20.2,7.6,77
04-01-2019,0,16.58301,29.96519,77.8,24.5,7.6,90.2
05-01-2019,0,17.32378,29.63474,75.5,25.6,8.6,75.2
06-01-2019,0,17.20075,29.45208,76.4,24.8,9.4,78.9
07-01-2019,0,16.91629,30.2958,71,17.3,7.6,87.3
08-01-2019,0,17.00418,30.48747,67.8,24.8,9,332.7
09-01-2019,0,15.78464,30.57621,67.2,17.6,7.6,35
10-01-2019,0,15.97605,30.02492,78.3,23.8,8.3,90
11-01-2019,0,18.12747,29.78423,78.5,26.3,14.8,85.9
12-01-2019,0,18.2617,29.57751,76.8,28.1,7.6,92.9
13-01-2019,0,18.71542,29.96221,76.1,27,8.3,93.7
14-01-2019,0,17.89478,30.27138,76.7,22,7.6,93.6
15-01-2019,0,17.64797,30.65697,72.8,21.2,6.8,58.9
16-01-2019,0,18.2023,30.19633,75,25.9,7.6,91.6
17-01-2019,0,17.91936,30.35425,77.9,24.1,8.6,94.2
18-01-2019,0,18.48964,30.88512,76.4,24.1,9.4,103.3
19-01-2019,0,18.6397,30.84023,79.2,23,6.5,98.3
20-01-2019,0,17.68422,31.03698,78.7,22,9.4,112.5
21-01-2019,0,17.74974,30.56037,78.4,28.4,10.1,114.6
22-01-2019,0,17.91005,30.4963,73.9,29.9,9.4,106.5
23-01-2019,0,18.50337,30.17196,75.6,29.9,10.1,89.2
24-01-2019,0,19.3418,30.67281,74,30.6,14,104.1
25-01-2019,0,20.65094,30.6355,75.9,36,13.7,118.5
26-01-2019,0,22.12608,28.88709,74.8,28.8,15.1,107.5
27-01-2019,0,21.59755,27.49994,78.2,31.7,12.6,84.3
28-01-2019,6.79057169,19.56619,24.60774,82.4,30.2,10.8,63.7
29-01-2019,2.748402119,16.76807,28.06162,77.8,24.1,9.4,21.6
30-01-2019,0,14.52533,28.86877,60.8,19.8,9,26.3
31-01-2019,0,16.09866,33.14341,74.5,33.5,22.3,78.4
01-02-2019,0,18.66262,29.45354,74.4,24.1,11.2,86.3
02-02-2019,0,18.25179,29.94141,72.6,25.6,7.9,75.9
03-02-2019,0,19.04444,30.16311,73.8,25.9,14.8,79.8
04-02-2019,0,19.3992,30.95386,68.1,32,15.4,84.1
05-02-2019,0,19.5138,31.4479,70.2,23.8,7.6,67.9
06-02-2019,0,19.37248,31.50002,72.4,28.1,8.6,111.3
07-02-2019,0,20.16517,31.31269,75.9,34.2,7.6,130.1
08-02-2019,0,22.19835,31.27188,78.7,29.5,13,103.5
09-02-2019,0,22.14941,30.47799,74.8,21.6,7.6,112.2
10-02-2019,0,19.69785,32.03957,64.2,36.7,9.4,74.4
11-02-2019,0,22.52377,31.24053,78.9,34.6,14.8,93.4
12-02-2019,0,21.37662,31.30898,75.8,32,11.2,94.4
13-02-2019,0,20.95512,31.72,73.4,31,11.2,83.2
14-02-2019,0,19.81581,32.14074,73.4,27.7,9.7,101.2
15-02-2019,0,20.46211,32.74881,75.6,34.2,8.3,139.8
16-02-2019,0,21.34463,32.61381,79,33.1,18.4,109.1
17-02-2019,0,22.4603,32.96814,75.6,28.4,11.9,146.6
18-02-2019,0,22.70588,33.37491,77,24.5,9,192
